strike,lastPrice,bid,ask
500.0,167.54,0.0,0.0
525.0,131.31,0.0,0.0
545.0,115.79,0.0,0.0
565.0,95.48,0.0,0.0
570.0,98.4,,
575.0,94.07,,
585.0,84.43,0.0,0.0
595.0,69.31,0.0,0.0
600.0,69.25,0.0,0.0
605.0,64.27,0.0,0.0
610.0,59.33,0.0,0.0
615.0,48.51,0.0,0.0
620.0,49.65,0.0,0.0
625.0,40.28,0.0,0.0
630.0,39.2,0.0,0.0
631.0,37.58,0.0,0.0
632.0,23.99,0.0,0.0
633.0,28.63,0.0,0.0
634.0,31.5,0.0,0.0
635.0,30.52,0.0,0.0
636.0,29.53,0.0,0.0
637.0,22.25,0.0,0.0
638.0,19.69,0.0,0.0
639.0,30.19,0.0,0.0
640.0,29.42,0.0,0.0
641.0,27.96,0.0,0.0
642.0,23.32,0.0,0.0
643.0,26.41,0.0,0.0
644.0,25.04,0.0,0.0
645.0,24.38,0.0,0.0
646.0,22.55,0.0,0.0
647.0,22.36,0.0,0.0
648.0,18.73,0.0,0.0
649.0,20.6,0.0,0.0
650.0,19.34,0.0,0.0
651.0,18.15,0.0,0.0
652.0,17.18,0.0,0.0
653.0,16.0,0.0,0.0
654.0,15.1,0.0,0.0
655.0,14.41,0.0,0.0
656.0,13.61,0.0,0.0
657.0,12.57,0.0,0.0
658.0,11.27,0.0,0.0
659.0,10.39,0.0,0.0
660.0,9.72,0.0,0.0
661.0,8.72,0.0,0.0
662.0,7.89,0.0,0.0
663.0,7.13,0.0,0.0
664.0,6.21,0.0,0.0
665.0,5.19,0.0,0.0
666.0,4.49,0.0,0.0
667.0,3.65,0.0,0.0
668.0,2.95,0.0,0.0
669.0,2.28,0.0,0.0
670.0,1.73,0.0,0.0
671.0,1.28,0.0,0.0
672.0,0.9,0.0,0.0
673.0,0.6,0.0,0.0
674.0,0.37,0.0,0.0
675.0,0.23,0.0,0.0
676.0,0.14,0.0,0.0
677.0,0.09,0.0,0.0
678.0,0.05,0.0,0.0
679.0,0.04,0.0,0.0
680.0,0.02,0.0,0.0
681.0,0.02,0.0,0.0
682.0,0.01,0.0,0.0
683.0,0.02,0.0,0.0
684.0,0.01,0.0,0.0
685.0,0.01,0.0,0.0
686.0,0.01,0.0,0.0
687.0,0.01,0.0,0.0
688.0,0.01,0.0,0.0
689.0,0.01,0.0,0.0
690.0,0.01,0.0,0.0
691.0,0.01,0.0,0.0
692.0,0.01,0.0,0.0
693.0,0.01,0.0,0.0
694.0,0.01,0.0,0.0
695.0,0.01,0.0,0.0
696.0,0.01,0.0,0.0
697.0,0.01,0.0,0.0
698.0,0.01,0.0,0.0
699.0,0.02,0.0,0.0
700.0,0.01,0.0,0.0
701.0,0.01,0.0,0.0
702.0,0.01,0.0,0.0
703.0,0.01,0.0,0.0
704.0,0.01,0.0,0.0
705.0,0.01,0.0,0.0
706.0,0.02,0.0,0.0
707.0,0.01,0.0,0.0
708.0,0.01,0.0,0.0
709.0,0.01,0.0,0.0
710.0,0.01,0.0,0.0
715.0,0.01,0.0,0.0
720.0,0.01,0.0,0.0
725.0,0.01,0.0,0.0
730.0,0.01,0.0,0.0
735.0,0.01,0.0,0.0
740.0,0.01,0.0,0.0
745.0,0.01,0.0,0.0
